t_ms,phase,ratio,dt_ms,fps,enemies,mode
-4,load,1.8,-3.8,0,200,playing
105,load,1.8,18.2,55,200,playing
208,load,1.8,12.1,83,200,playing
317,load,1.8,12.2,82,200,playing
426,load,1.8,18.1,55,200,playing
529,load,1.7,12.3,81,200,playing
638,load,1.7,12.1,83,200,playing
754,load,1.7,18.3,55,200,playing
863,load,1.7,12.2,82,200,playing
978,load,1.6,18.1,55,201,playing
1087,load,1.6,12.1,83,201,playing
1196,load,1.6,12.1,83,201,playing
1299,load,1.6,12.1,83,201,playing
1426,load,1.5,30.2,33,199,playing
1535,load,1.5,12.1,83,199,playing
1644,load,1.5,18.2,55,199,playing
1753,load,1.5,12.2,82,199,playing
1856,load,1.5,12.1,83,199,playing
1959,load,1.4,12.2,82,199,playing
2068,load,1.4,12.1,83,198,playing
2171,load,1.4,12.2,82,197,playing
2274,load,1.4,6.1,164,197,playing
2383,load,1.3,18.2,55,198,playing
2492,load,1.3,12.1,83,198,playing
2601,load,1.3,18.2,55,198,playing
2704,load,1.3,6,167,198,playing
2819,load,1.2,18,56,198,playing
2922,load,1.2,12.2,82,198,playing
3032,load,1.2,12.2,82,198,playing
3134,load,1.2,12.1,83,198,playing
3244,load,1.2,12.2,82,198,playing
3346,load,1.1,12,83,198,playing
3449,load,1.1,12.1,83,197,playing
3553,load,1.1,12.1,83,196,playing
3655,load,1.1,12,83,196,playing
3765,load,1,18.2,55,197,playing
3868,load,1,12.2,82,197,playing
3970,load,1,18.1,55,197,playing
4074,load,1,18.2,55,197,playing
4183,load,1,12.2,82,196,playing
4292,load,1,12.1,83,196,playing
4395,load,1,6.1,164,196,playing
4498,load,1,6.2,161,196,playing
4607,load,1,12.1,83,196,playing
4710,load,1,12.2,82,196,playing
4813,load,1,12,83,195,playing
4916,load,1,12.2,82,195,playing
5019,load,1,12.1,83,195,playing
5122,load,1,12.2,82,195,playing
5231,load,1,12.1,83,196,playing
5334,load,1,6.1,164,196,playing
5437,load,1,6,167,196,playing
5546,load,1,12,83,195,playing
5655,load,1,12.1,83,194,playing
5758,load,1,12.2,82,194,playing
5867,load,1,12,83,194,playing
5976,load,1,18,56,194,playing
6079,load,1,6,167,194,playing
6194,load,1,18.1,55,194,playing
6309,load,1,18.2,55,192,playing
6418,load,1,12.2,82,192,playing
6527,load,1,12,83,193,playing
6636,load,1,12.2,82,193,playing
6739,load,1,12.2,82,193,playing
6842,load,1,12.2,82,193,playing
6945,load,1,12.1,83,194,playing
7048,load,1,12.2,82,194,playing
7157,load,1,18.3,55,192,playing
7260,load,1,6.1,164,192,playing
7369,load,1,12.2,82,193,playing
7472,load,1,12.1,83,193,playing
7575,load,1,12.1,83,193,playing
7678,load,1,12.1,83,193,playing
7781,load,1,12.1,83,194,playing
7890,load,1,12.1,83,194,playing
7999,load,1,12,83,193,playing
8102,load,1,12.2,82,193,playing
8223,load,1,24.2,41,194,playing
8333,load,1,12.2,82,194,playing
8436,load,1,12.2,82,194,playing
8539,load,1,12.1,83,195,playing
8641,load,1,6,167,193,playing
8751,load,1,12.1,83,193,playing
8860,load,1,18.1,55,193,playing
8963,load,1,12,83,194,playing
9066,load,1,12.2,82,194,playing
9169,load,1,12.2,82,194,playing
9272,load,1,12.1,83,194,playing
9375,load,1,6.1,164,195,playing
9484,load,1,12.1,83,193,playing
9593,load,1,12.1,83,193,playing
9696,load,1,6,167,194,playing
9799,load,1,12.1,83,194,playing
9902,load,1,12.1,83,194,playing
10011,load,1,12,83,194,playing
10126,load,1,18.2,55,195,playing
10235,load,1,12.2,82,195,playing
10344,load,1,12.1,83,193,playing
10453,load,1,12.2,82,194,playing
10556,load,1,12.1,83,194,playing
10671,load,1,18.3,55,194,playing
10774,load,1,12.1,83,194,playing
10877,load,1,6.1,164,195,playing
10980,load,1,12.1,83,195,playing
11083,load,1,12.2,82,193,playing
11192,load,1,12.1,83,194,playing
11295,load,1,12,83,194,playing
11404,load,1,12.1,83,194,playing
11507,load,1,12.2,82,194,playing
11616,load,1,18.2,55,195,playing
11719,load,1,12.1,83,195,playing
11822,load,1,18.2,55,195,playing
11931,load,1,12.2,82,194,playing
12034,load,1,12.1,83,194,playing
12143,load,1,18.3,55,194,playing
12246,load,1,6.1,164,195,playing
12373,load,1,30.2,33,195,playing
12477,load,1,12.2,82,195,playing
12579,load,1,12.1,83,195,playing
12682,load,1,6,167,194,playing
12785,load,1,12,83,194,playing
12888,load,1,12.1,83,194,playing
12991,load,1,6,167,195,playing
13094,load,1,12.1,83,195,playing
13204,load,1,12.2,82,195,playing
13306,load,1,6.1,164,196,playing
13410,load,1,12.1,83,196,playing
13519,load,1,12.2,82,194,playing
13622,load,1,12.2,82,194,playing
13724,load,1,6.1,164,195,playing
13834,load,1,12.2,82,195,playing
13943,load,1,12.1,83,195,playing
14046,load,1,12.1,83,196,playing
14155,load,1,18.2,55,196,playing
14258,load,1,12.1,83,194,playing
14367,load,1,12.1,83,195,playing
14476,load,1,12.2,82,195,playing
14579,load,1,6.1,164,195,playing
14682,load,1,24.2,41,196,playing
14785,load,1,12,83,196,playing
14888,load,1,12.2,82,196,playing
14997,load,1,12.1,83,196,playing
15100,load,1,12.2,82,197,playing
15203,load,1,12.1,83,196,playing
15312,load,1,12.1,83,196,playing
15421,load,1,12.2,82,197,playing
15530,load,1,12.1,83,197,playing
15633,load,1,12.1,83,197,playing
15742,load,1,12.1,83,198,playing
15851,load,1,12.2,82,196,playing
15960,load,1,12.1,83,196,playing
16069,load,1,12.2,82,197,playing
16172,load,1,12.2,82,197,playing
16275,load,1,6.1,164,197,playing
16378,load,1,12.1,83,198,playing
16487,load,1,12.2,82,198,playing
16596,load,1,12.1,83,198,playing
16711,load,1,18.2,55,198,playing
16820,load,1,12.2,82,198,playing
16929,load,1,12.2,82,198,playing
17038,load,1,12,83,199,playing
17141,load,1,6,167,199,playing
17250,load,1,12.1,83,199,playing
17353,load,1,12.1,83,200,playing
17462,load,1,12,83,201,playing
17566,load,1,12.2,82,201,playing
17669,load,1,12.1,83,202,playing
17778,load,1,12.1,83,202,playing
17881,load,1,6.1,164,202,playing
17990,load,1,12.1,83,203,playing
18093,load,1,12.1,83,203,playing
18196,load,1,6,167,203,playing
18299,load,1,12.2,82,204,playing
18402,load,1,6,167,204,playing
18505,load,1,6,167,204,playing
18608,load,1,12.1,83,205,playing
18711,load,1,12,83,205,playing
18814,load,1,11.4,88,205,playing
18917,load,1,6,167,206,playing
19020,load,1,12.2,82,206,playing
19123,load,1,6.1,164,204,playing
19232,load,1,12.4,81,205,playing
19335,load,1,12,83,205,playing
19444,load,1,12.1,83,206,playing
19547,load,1,12.1,83,206,playing
19656,load,1,12.1,83,206,playing
19765,load,1,12,83,207,playing
19868,load,1,12.1,83,205,playing
19977,load,1,12.2,82,205,playing
20080,load,1,12.2,82,206,playing
20183,load,1,6.1,164,206,playing
20286,load,1,12.2,82,206,playing
20389,load,1,12.1,83,207,playing
20492,load,1,6,167,207,playing
20595,load,1,12.1,83,207,playing
20698,load,1,12,83,206,playing
20807,load,1,12.2,82,206,playing
20910,load,1,18.1,55,206,playing
21013,load,1,18.2,55,207,playing
21122,load,1,12.2,82,207,playing
21231,load,1,12.1,83,208,playing
21334,load,1,6.1,164,208,playing
21443,load,1,18.2,55,207,playing
21546,load,1,12.2,82,208,playing
21655,load,1,12.2,82,208,playing
21764,load,1,12.2,82,208,playing
21867,load,1,12.1,83,209,playing
21976,load,1,18.2,55,209,playing
22091,load,1,18.1,55,210,playing
22200,load,1,12.1,83,210,playing
22309,load,1,12.1,83,208,playing
22418,load,1,12,83,209,playing
22527,load,1,12.1,83,209,playing
22630,load,1,12.1,83,209,playing
22733,load,1,12.1,83,210,playing
22836,load,1,12.1,83,210,playing
22945,load,1,12.1,83,211,playing
23048,load,1,12.1,83,209,playing
23157,load,1,12.1,83,209,playing
23260,load,1,6,167,210,playing
23369,load,1,12.1,83,210,playing
23479,load,1,12.2,82,210,playing
23588,load,1,12.1,83,211,playing
23697,load,1,12.1,83,211,playing
23800,load,1,12.1,83,212,playing
23903,load,1,6,167,210,playing
24012,load,1,12.2,82,210,playing
24115,load,1,18.1,55,211,playing
24224,load,1,12.1,83,211,playing
24327,load,1,18.2,55,212,playing
24436,load,1,12.1,83,212,playing
24539,load,1,12.1,83,224,playing
24648,load,1,12.3,81,223,playing
24751,load,1,12.2,82,223,playing
24854,load,1,12.1,83,223,playing
24957,load,1,18.2,55,224,playing
25060,load,1,12.1,83,224,playing
25163,load,1,6.1,164,225,playing
25272,load,1,12.1,83,225,playing
25381,load,1,12.3,81,225,playing
25484,load,1,12.1,83,225,playing
25587,load,1,12,83,224,playing
25690,load,1,6.1,164,225,playing
25793,load,1,6.1,164,225,playing
25902,load,1,12.1,83,225,playing
26005,load,1,12.2,82,226,playing
26108,load,1,6,167,226,playing
26211,load,1,6,167,227,playing
26320,load,1,12.1,83,225,playing
26423,load,1,6.2,161,225,playing
26532,load,1,12.1,83,226,playing
26641,load,1,12.2,82,226,playing
26744,load,1,12,83,227,playing
26847,load,1,11.9,84,227,playing
26956,load,1,12.2,82,227,playing
27059,load,1,12,83,226,playing
27168,load,1,12.1,83,226,playing
27277,load,1,12.1,83,227,playing
27386,load,1,12.1,83,227,playing
27495,load,1,12.2,82,227,playing
27598,load,1,12.2,82,228,playing
27707,load,1,12.1,83,228,playing
27810,load,1,6,167,229,playing
27913,load,1,12.1,83,227,playing
28016,load,1,12.1,83,227,playing
28125,load,1,12.1,83,228,playing
28228,load,1,12.1,83,228,playing
28331,load,1,12.2,82,229,playing
28434,load,1,6.2,161,229,playing
28549,load,1,18.2,55,230,playing
28658,load,1,18.2,55,228,playing
28762,load,1,12.2,82,228,playing
28864,load,1,12.1,83,229,playing
28967,load,1,12.1,83,229,playing
29077,load,1,12.2,82,230,playing
29179,load,1,12.2,82,230,playing
29289,load,1,12.1,83,231,playing
29398,load,1,12.1,83,231,playing
29500,load,1,12.1,83,231,playing
29610,load,1,12.1,83,231,playing
29713,load,1,12.2,82,231,playing
29822,load,1,12.1,83,232,playing
29931,load,1,12.1,83,232,playing
30034,load,1,12.1,83,232,playing
30143,load,1,12.1,83,233,playing
30252,load,1,12.2,82,231,playing
30361,load,1,12.2,82,232,playing
30470,load,1,24.2,41,232,playing
30573,load,1,12.2,82,233,playing
30676,load,1,6.1,164,233,playing
30785,load,1,12.1,83,234,playing
30888,load,1,12.1,83,234,playing
30991,load,1,6,167,234,playing
31100,load,1,12,83,233,playing
31203,load,1,12.2,82,233,playing
31306,load,1,6,167,234,playing
31415,load,1,12.1,83,234,playing
31518,load,1,12.1,83,235,playing
31621,load,1,5.9,169,235,playing
31730,load,1,12.3,81,235,playing
31839,load,1,12.1,83,236,playing
31948,load,1,18.3,55,234,playing
32051,load,1,12.1,83,235,playing
32154,load,1,12.1,83,235,playing
32257,load,1,12.1,83,236,playing
32360,load,1,12.1,83,236,playing
32469,load,1,12.2,82,237,playing
32578,load,1,12.1,83,237,playing
32681,load,1,12.1,83,237,playing
32790,load,1,12.2,82,238,playing
32899,load,1,12.1,83,238,playing
33002,load,1,12.2,82,239,playing
33111,load,1,12.1,83,239,playing
33220,load,1,12.1,83,240,playing
33323,load,1,6.1,164,240,playing
33432,load,1,12.1,83,241,playing
33535,load,1,12.1,83,241,playing
33644,load,1,12.1,83,242,playing
33753,load,1,12.1,83,242,playing
33857,load,1,12.1,83,243,playing
33960,load,1,12.1,83,243,playing
34069,load,1,12.1,83,243,playing
34178,load,1,12.2,82,244,playing
34281,load,1,12.1,83,242,playing
34384,load,1,12.1,83,243,playing
34499,load,1,18.6,54,243,playing
34602,load,1,18.1,55,243,playing
34705,load,1,12.1,83,243,playing
34808,load,1,12,83,244,playing
34917,load,1,12.2,82,244,playing
35020,load,1,12.2,82,244,playing
35123,load,1,12.2,82,242,playing
35238,load,1,18.1,55,242,playing
35341,load,1,12.2,82,242,playing
35450,load,1,12.1,83,242,playing
35553,load,1,12.1,83,243,playing
35656,load,1,6,167,243,playing
35765,load,1,12.1,83,243,playing
35868,load,1,12.1,83,241,playing
35971,load,1,12.1,83,241,playing
36074,load,1,12.1,83,241,playing
36183,load,1,12.1,83,241,playing
36286,load,1,12.2,82,242,playing
36395,load,1,12,83,242,playing
36498,load,1,12.1,83,242,playing
36601,load,1,12.2,82,242,playing
36704,load,1,12.1,83,240,playing
36807,load,1,6.2,161,240,playing
36910,load,1,12.1,83,240,playing
37025,load,1,18.3,55,241,playing
37128,load,1,12.2,82,241,playing
37231,load,1,12,83,241,playing
37340,load,1,18.2,55,241,playing
37443,load,1,12.1,83,239,playing
37552,load,1,12.2,82,239,playing
37655,load,1,18.2,55,240,playing
37758,load,1,12.1,83,240,playing
37873,load,1,18.2,55,240,playing
37976,load,1,12.2,82,240,playing
38600,load,1,533.1,2,240,playing
38709,load,1,12.1,83,240,playing
38812,recover,1,5.9,169,12,playing
38915,recover,1,6.1,164,13,playing
39018,recover,1,6.1,164,13,playing
39121,recover,1.1,6.1,164,13,playing
39224,recover,1.1,6.1,164,13,playing
39327,recover,1.1,6.1,164,13,playing
39430,recover,1.1,6.1,164,13,playing
39533,recover,1.1,6.1,164,13,playing
39636,recover,1.1,6.1,164,14,playing
39739,recover,1.1,5.9,169,14,playing
39842,recover,1.2,6.1,164,14,playing
39945,recover,1.2,6.1,164,14,playing
40048,recover,1.2,6,167,14,playing
40151,recover,1.2,6.2,161,14,playing
40254,recover,1.2,6,167,15,playing
40357,recover,1.2,6.1,164,15,playing
40466,recover,1.3,12,83,15,playing
40569,recover,1.3,6,167,15,playing
40672,recover,1.3,6.2,161,15,playing
40775,recover,1.3,6,167,15,playing
40878,recover,1.3,5.9,169,15,playing
40981,recover,1.3,6,167,16,playing
41084,recover,1.3,6.3,159,15,playing
41193,recover,1.4,30.3,33,15,playing
41296,recover,1.4,12,83,15,playing
41399,recover,1.4,6.1,164,15,playing
41502,recover,1.4,6,167,15,playing
41605,recover,1.4,6.1,164,15,playing
41708,recover,1.4,6,167,16,playing
41811,recover,1.4,6,167,15,playing
41914,recover,1.5,5.9,169,15,playing
42017,recover,1.5,6.1,164,15,playing
42126,recover,1.5,12.1,83,15,playing
42229,recover,1.5,6.1,164,15,playing
42332,recover,1.5,5.9,169,16,playing
42435,recover,1.5,6.1,164,16,playing
42538,recover,1.5,6,167,16,playing
42641,recover,1.6,6,167,14,playing
42744,recover,1.6,6,167,14,playing
42871,recover,1.5,36.2,28,14,playing
42974,recover,1.5,6.1,164,14,playing
43077,recover,1.5,6,167,15,playing
43180,recover,1.5,5.9,169,15,playing
43283,recover,1.5,6,167,15,playing
43386,recover,1.6,6,167,13,playing
43489,recover,1.6,6.2,161,13,playing
43598,recover,1.6,12.2,82,13,playing
43701,recover,1.6,6,167,14,playing
43804,recover,1.6,5.9,169,14,playing
43907,recover,1.6,6.1,164,14,playing
44010,recover,1.6,6,167,13,playing
44126,recover,1.6,18.1,55,13,playing
44228,recover,1.6,6,167,13,playing
44331,recover,1.6,6,167,13,playing
